id,idProject,testCase,EagerTest,MysteryGuest,ResourceOptimism,TestRedundancy
36315,33.0_alien4cloud,alien4cloud.utils.jsonmapentryarrayserializertest.serializationwithmapcontextshouldserializetoarray,0.0,0.0,0.0,0.0
48577,5.0_jfreechart,org.jfree.chart.plot.categoryplottest.testserialization,1.0,0.0,0.0,0.0
14095,11.0_wikidata-toolkit,org.wikidata.wdtk.testing.mockdirectorymanagertest.hassubdirectory,0.0,0.0,0.0,0.0
14086,11.0_wikidata-toolkit,org.wikidata.wdtk.client.clienttest.testnonexistinglocaldump,0.0,0.0,0.0,0.0
20573,4.0_hdoop,org.apache.hadoop.hdfs.server.namenode.testbackupnode.testbackupnode,1.0,1.0,1.0,0.0
43539,17.0_fastjson,com.alibaba.json.bvt.bug.bug_for_stv_liu.test,1.0,0.0,0.0,0.0
12290,15.0_wro4j,ro.isdc.wro.maven.plugin.testjshintmojo.shouldreportonlyfirsterrorwhenfailfastistrue,0.0,0.0,0.0,0.0
6621,49.0_dropwizard,io.dropwizard.servlets.tasks.taskservlettest.passespostbodyalongtopostbodytasks,0.0,0.0,0.0,0.0
47915,22.0_http-request,com.github.kevinsawicki.http.httprequesttest.malformedintheader,0.0,0.0,0.0,0.0
27275,4.0_hdoop,org.apache.hadoop.yarn.client.cli.testlogscli.testfetchapplictionlogshar,0.0,1.0,0.0,0.0
7950,27.0_querydsl,com.querydsl.sql.selectbase.serialization2,0.0,1.0,0.0,0.0
11594,15.0_wro4j,ro.isdc.wro.http.testconfigurablewrofilter.cannotacceptinvalidprocessornameconfiguration,0.0,0.0,0.0,0.0
24285,4.0_hdoop,org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.testlogaggregationservice.testlogaggregationabsentcontainer,1.0,0.0,0.0,0.0
48915,5.0_jfreechart,org.jfree.chart.annotations.xyshapeannotationtest.testequals,1.0,0.0,0.0,0.0
27952,4.0_hdoop,org.apache.hadoop.mapreduce.tools.testcli.testgetjobwithretry,0.0,0.0,0.0,0.0
9961,57.0_riptide,org.zalando.riptide.requestertest.shouldexpandone,0.0,0.0,0.0,0.0
32403,4.0_hdoop,org.apache.hadoop.fs.azure.testbloboperationdescriptor.testappendblockoperations,0.0,0.0,0.0,0.0
42873,17.0_fastjson,com.alibaba.fastjson.jsonpathtest.eq1,1.0,0.0,0.0,0.0
2268,47.0_rxjava2-extras,com.github.davidmoten.rx2.internal.flowable.flowablerepeatingtransformtest.testcompletesfirstlevel,0.0,0.0,0.0,0.0
22410,4.0_hdoop,org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.testfsdatasetimpl.testloadingdfsusedforvolumes,0.0,0.0,0.0,0.0
2298,47.0_rxjava2-extras,com.github.davidmoten.rx2.internal.flowable.buffertofile.pagetest.testpagesize,0.0,1.0,0.0,0.0
23859,4.0_hdoop,org.apache.hadoop.yarn.server.nodemanager.testnmauditlogger.testnmauditloggerwithoutip,0.0,0.0,0.0,0.0
49999,5.0_jfreechart,org.jfree.data.statistics.defaultboxandwhiskerxydatasettest.testcloning,1.0,0.0,0.0,0.0
26883,4.0_hdoop,org.apache.hadoop.yarn.server.resourcemanager.reservation.testreservationinputvalidator.testupdatereservationvalidrecurrenceexpression,0.0,0.0,0.0,0.0
23856,4.0_hdoop,org.apache.hadoop.yarn.server.nodemanager.testnmauditlogger.testsuccesslogformat,1.0,0.0,0.0,0.0
45094,12.0_openpojo,com.openpojo.validation.affirm.abstractaffirmationtest.testfailwithnullmessage,0.0,0.0,0.0,0.0
4477,18.0_admiral,com.vmware.admiral.adapter.registry.service.registryadapterservicetest.testsameregistrytwodifferentprojectsnotremoveoldtenantlinkshouldfail,0.0,0.0,0.0,0.0
1475,29.0_c2mon,cern.c2mon.server.configuration.configurationloadertest.testremovecommand,0.0,0.0,0.0,0.0
7672,27.0_querydsl,com.querydsl.sql.sqlbindingstest.params,0.0,1.0,0.0,0.0
4642,18.0_admiral,com.vmware.admiral.adapter.docker.service.dockeradapterservicetest.testinspectcontainer,0.0,0.0,0.0,0.0
19374,4.0_hdoop,org.apache.hadoop.hdfs.web.testwebhdfs.testfsserverdefaultsbackwardscompatible,0.0,0.0,0.0,0.0
35112,30.0_joda-time,org.joda.time.field.testoffsetdatetimefield.test_getmaximumtextlength_locale,0.0,0.0,0.0,0.0
4776,18.0_admiral,com.vmware.admiral.common.test.queryutiltest.testaddtenantanduserclausewhentenantanduserareset,0.0,0.0,0.0,0.0
1988,47.0_rxjava2-extras,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testpollqueuethrowsexceptionemitserror,0.0,0.0,0.0,0.0
23468,4.0_hdoop,org.apache.hadoop.yarn.conf.testhautil.testgetconfkeyforrminstance,0.0,0.0,0.0,0.0
43251,17.0_fastjson,com.alibaba.json.bvt.bug.issue887.test_for_issue,1.0,0.0,0.0,0.0
15707,7.0_dnsjava,org.xbill.dns.utils.base64test.test_tostring_basic5,0.0,0.0,0.0,0.0
18641,58.0_esper,com.espertech.esper.common.internal.epl.expression.ops.testexprlikenode.testvalidate,1.0,0.0,0.0,0.0
46025,71.0_spring-ws,org.springframework.ws.server.endpoint.adapter.defaultmethodendpointadaptertest.supportssupported,0.0,0.0,0.0,0.0
15340,7.0_dnsjava,org.xbill.dns.optionstest.test_check,0.0,0.0,0.0,0.0
49623,5.0_jfreechart,org.jfree.chart.renderer.category.statisticallineandshaperenderertest.testpubliccloneable,0.0,0.0,0.0,0.0
5709,49.0_dropwizard,io.dropwizard.jersey.optional.optionalintmessagebodywritertest.presentoptionalsreturntheirvaluewithresponse,0.0,0.0,0.0,0.0
35897,76.0_achilles,info.archinnov.achilles.it.testschemagenerator.should_build_schema_for_entity_with_static_annotations,0.0,1.0,1.0,0.0
10324,1.0_struts,org.apache.struts2.util.tokenhelpertest.testsetsessiontoken,0.0,0.0,0.0,0.0
6918,49.0_dropwizard,io.dropwizard.logging.fileappenderfactorytest.isimmediateflushed,0.0,0.0,0.0,0.0
29837,4.0_hdoop,org.apache.hadoop.util.testprotoutil.testrpcclientid,1.0,0.0,0.0,0.0
38013,45.0_hbase,org.apache.hadoop.hbase.util.testbytes.testbinarysearch,1.0,0.0,0.0,0.0
35272,30.0_joda-time,org.joda.time.field.testprecisedurationfield.testserialization,0.0,0.0,0.0,0.0
6303,49.0_dropwizard,io.dropwizard.client.httpclientbuildertest.usesproxy,0.0,0.0,0.0,0.0
43331,17.0_fastjson,com.alibaba.json.bvt.bug.bug_for_spitfire.test_for_spitfire,1.0,0.0,0.0,0.0
20780,4.0_hdoop,org.apache.hadoop.hdfs.server.namenode.testfsdirectory.testxattrmultisetremove,1.0,0.0,0.0,0.0
38622,45.0_hbase,org.apache.hadoop.hbase.filter.testbigdecimalcomparator.testgreaterthanvalue,1.0,0.0,0.0,0.0
12913,15.0_wro4j,ro.isdc.wro.manager.factory.testconfigurablewromanagerfactory.cannotconfigureinvalidrequesthandler,0.0,0.0,0.0,0.0
47322,53.0_retrofit,retrofit2.adapter.guava.guavacalladapterfactorytest.responsetype,1.0,0.0,0.0,0.0
12977,15.0_wro4j,ro.isdc.wro.model.factory.testxmlmodelfactory.recursivegroupthrowsexception,0.0,1.0,1.0,0.0
28161,4.0_hdoop,org.apache.hadoop.mapreduce.lib.input.testfixedlengthinputformat.testnorecordlength,0.0,1.0,0.0,0.0
22122,4.0_hdoop,org.apache.hadoop.hdfs.tools.testdfsadmin.testgetdatanodeinfo,1.0,0.0,0.0,0.0
17313,21.0_incubator-dubbo,org.apache.dubbo.common.utils.configutilstest.testgetproperty,0.0,0.0,0.0,0.0
25306,4.0_hdoop,org.apache.hadoop.yarn.server.timelineservice.reader.testtimelinereaderwebservicesutils.testeventfiltersparsing,1.0,0.0,0.0,0.0
32444,4.0_hdoop,org.apache.hadoop.tools.util.testdistcputils.testreplfactornotpreservedonerasurecodedfile,0.0,1.0,0.0,0.0
10153,1.0_struts,org.apache.struts2.convention.seoactionnamebuildertest.testemptyactionname,0.0,0.0,0.0,0.0
41696,16.0_pippo,ro.pippo.core.route.defaultroutertest.testfindroutes,0.0,0.0,0.0,0.0
27842,4.0_hdoop,org.apache.hadoop.mapreduce.task.reduce.testfetcher.testinterruptinmemory,0.0,0.0,0.0,0.0
19123,4.0_hdoop,org.apache.hadoop.fs.testfilterfs.testfilterfilesystem,1.0,0.0,0.0,0.0
1728,29.0_c2mon,cern.c2mon.server.cache.dbaccess.ruletagmappertest.testgetnumberitems,0.0,0.0,0.0,0.0
25401,4.0_hdoop,org.apache.hadoop.yarn.server.resourcemanager.testresourcetrackerservice.testnoderegistrationwithinvalidlabels,1.0,0.0,0.0,0.0
48770,5.0_jfreechart,org.jfree.chart.plot.dial.dialcaptest.testhashcode,1.0,0.0,0.0,0.0
11425,69.0_search-highlighter,org.wikimedia.highlighter.experimental.lucene.hit.automatonhitenumtest.twophasematchcorrectness,1.0,0.0,0.0,0.0
48775,5.0_jfreechart,org.jfree.chart.plot.dial.dialpointertest.testequalspointer,0.0,0.0,0.0,0.0
7980,27.0_querydsl,com.querydsl.sql.selectbase.where_exists,0.0,1.0,0.0,0.0
9803,57.0_riptide,org.zalando.riptide.spring.ratiotest.shouldapplyto,0.0,0.0,0.0,0.0
23306,4.0_hdoop,org.apache.hadoop.yarn.client.api.impl.testyarnclientimpl.testasyncapipolltimeouthelper,1.0,1.0,1.0,0.0
50231,5.0_jfreechart,org.jfree.data.category.defaultintervalcategorydatasettest.testgetrowindex,0.0,0.0,0.0,0.0
12374,15.0_wro4j,ro.isdc.wro.maven.plugin.support.testprogressindicator.shouldcomputecorrecttotalresources,0.0,0.0,0.0,0.0
25073,4.0_hdoop,org.apache.hadoop.yarn.server.applicationhistoryservice.testfilesystemapplicationhistorystore.testreadhistorydata,1.0,0.0,0.0,0.0
46895,2.0_tyrus,org.glassfish.tyrus.ext.client.java8.sessionbuildertest.testencoderdecoder,0.0,1.0,1.0,0.0
23360,4.0_hdoop,org.apache.hadoop.yarn.client.api.impl.testyarnclient.testsignalcontainer,1.0,0.0,0.0,0.0
34527,30.0_joda-time,org.joda.time.chrono.testlenientchronology.test_lenientchrononolgy_chicago,0.0,0.0,0.0,0.0
6079,49.0_dropwizard,io.dropwizard.jetty.contextroutinghandlertest.routestothebestprefixmatch,0.0,0.0,0.0,0.0
20067,4.0_hdoop,org.apache.hadoop.hdfs.client.impl.testblockreaderfactory.testmultiplewaitersonshortcircuitcache,1.0,0.0,0.0,0.0
706,25.0_marine-api,net.sf.marineapi.nmea.parser.sentenceparsertest.testsetfieldcounthigherbyone,0.0,0.0,0.0,0.0
41833,14.0_aletheia,com.outbrain.aletheia.kafka.streams.aletheiastreamstest.whennostreamcreatedshouldthrow,0.0,0.0,0.0,0.0
14757,41.0_elastic-job-lite,io.elasticjob.lite.exception.jobstatisticexceptiontest.assertgetcause,0.0,0.0,0.0,0.0
4253,18.0_admiral,com.vmware.admiral.request.requeststatusservicetest.testapicallswithoutauthentication,0.0,0.0,0.0,0.0
19558,4.0_hdoop,org.apache.hadoop.hdfs.testdistributedfilesystem.testinvalidscriptmappingfilereadstatistics,1.0,1.0,1.0,0.0
23715,4.0_hdoop,org.apache.hadoop.yarn.server.timeline.testleveldbtimelinestore.testdeleteentities,0.0,0.0,0.0,0.0
21296,4.0_hdoop,org.apache.hadoop.fs.shell.testxattrcommands.testgetfattrvalidations,0.0,0.0,0.0,0.0
43496,17.0_fastjson,com.alibaba.json.bvt.bug.bug_for_primitive_boolean.test_emptystr,0.0,0.0,0.0,0.0
41839,56.0_oci-java-sdk,com.oracle.bmc.objectstorage.transfer.multipartobjectassemblertest.resumeupload_nomatchinguploadid,1.0,0.0,0.0,0.0
21152,4.0_hdoop,org.apache.hadoop.lib.wsrs.testinputstreamentity.test,0.0,0.0,0.0,0.0
34624,30.0_joda-time,org.joda.time.chrono.testcopticchronology.testepoch,0.0,0.0,0.0,0.0
48240,38.0_carbon-apimgt,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingsubscriptionposttest,0.0,0.0,0.0,0.0
50463,5.0_jfreechart,org.jfree.data.time.timetablexydatasettest.testgettimeperiod,0.0,0.0,0.0,0.0
35570,30.0_joda-time,org.joda.time.format.testdatetimeformat.testformatparse_zoneid_nocolon,0.0,0.0,0.0,0.0
20271,4.0_hdoop,org.apache.hadoop.hdfs.protocolpb.testpbhelper.testconvertblock,0.0,0.0,0.0,0.0
22471,4.0_hdoop,org.apache.hadoop.hdfs.server.common.blockaliasmap.impl.testleveldbfileregionaliasmap.testiterate,1.0,1.0,0.0,0.0
44971,12.0_openpojo,com.openpojo.random.randomfactorytest.generaterandomwithnoregisteredrandomgenerator,0.0,0.0,0.0,0.0
9662,27.0_querydsl,com.querydsl.lucene5.luceneserializertest.contains_ignore_case_phrase,0.0,0.0,0.0,0.0
50554,5.0_jfreechart,org.jfree.data.time.quartertest.testgetfirstmillisecond,1.0,0.0,0.0,0.0
44950,12.0_openpojo,com.openpojo.random.impl.urirandomgeneratortest.willthrowexceptionwhenhostprefixmalformed,0.0,0.0,0.0,0.0
34361,30.0_joda-time,org.joda.time.testbasesinglefieldperiod.testfieldtypeindexmethods,0.0,0.0,0.0,0.0
14284,11.0_wikidata-toolkit,org.wikidata.wdtk.datamodel.implementation.datatypeidimpltest.testiriforstring,0.0,0.0,0.0,0.0
23029,4.0_hdoop,org.apache.hadoop.yarn.nodelabels.testfilesystemnodelabelsstore.testrecoverwithdistributednodelabels,0.0,0.0,0.0,0.0
6543,49.0_dropwizard,io.dropwizard.request.logging.layout.logbackaccessrequestlayouttest.outputpatternasheaderisfalse,0.0,0.0,0.0,0.0
14382,11.0_wikidata-toolkit,org.wikidata.wdtk.datamodel.implementation.globecoordinatesvalueimpltest.getglobeitemid,0.0,0.0,0.0,0.0
20123,4.0_hdoop,org.apache.hadoop.hdfs.client.impl.testblockreaderlocal.testblockreaderlocalonfilewithoutchecksumnoreadahead,0.0,1.0,1.0,0.0
18529,58.0_esper,com.espertech.esper.common.internal.util.testmethodresolver.testresolvemethodstaticandinstance,1.0,0.0,0.0,0.0
16122,72.0_java-websocket,org.java_websocket.autobahn.autobahnserverresults.test9_6_5,1.0,1.0,0.0,0.0
50177,5.0_jfreechart,org.jfree.data.keyedobjectstest.testremovevalueint,0.0,0.0,0.0,0.0
38599,45.0_hbase,org.apache.hadoop.hbase.filter.testmultirowrangefilter.testmergeandsortwithoverlap,0.0,0.0,0.0,0.0
23029,4.0_hdoop,org.apache.hadoop.yarn.nodelabels.testfilesystemnodelabelsstore.testrecoverwithdistributednodelabels,1.0,0.0,0.0,0.0
21475,4.0_hdoop,org.apache.hadoop.security.testshellbasedidmapping.teststaticmapupdate,1.0,1.0,0.0,0.0
36345,33.0_alien4cloud,alien4cloud.utils.version.comparableversiontest.testversionsequal,1.0,0.0,0.0,0.0
9336,27.0_querydsl,com.querydsl.core.types.dsl.casebuildertest.numbertyped,0.0,0.0,0.0,0.0
17984,21.0_incubator-dubbo,org.apache.dubbo.rpc.cluster.configurator.absent.absentconfiguratortest.testoverrideapplication,0.0,1.0,1.0,0.0
42,28.0_oryx,com.cloudera.oryx.app.speed.als.alsspeedmodeltest.testuseritemvector,0.0,0.0,0.0,0.0
11439,15.0_wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.testinvalidcontent,0.0,0.0,0.0,0.0
24934,4.0_hdoop,org.apache.hadoop.yarn.server.timeline.security.testtimelineaclsmanager.testyarnaclsnotenabledforentity,1.0,0.0,0.0,0.0
28800,4.0_hdoop,org.apache.hadoop.mapreduce.v2.app.rm.testrmcontainerallocator.testresource,0.0,0.0,0.0,0.0
14731,41.0_elastic-job-lite,io.elasticjob.lite.event.rdb.jobeventrdbsearchtest.assertfindjobstatustraceeventswithtime,1.0,1.0,0.0,0.0
36153,76.0_achilles,info.archinnov.achilles.internals.parser.fieldparsertest.should_fail_parsing_non_frozen_nested_udt,1.0,0.0,0.0,0.0
41751,16.0_pippo,ro.pippo.controller.controllerregistrytest.testwithpathwithmultivalue,0.0,0.0,0.0,0.0
48393,55.0_db-scheduler,com.github.kagkarlsson.scheduler.waitertest.should_wait_until_woken,1.0,0.0,0.0,0.0
928,25.0_marine-api,net.sf.marineapi.ais.util.latitude27test.zeroisavailable,0.0,0.0,0.0,0.0
18582,58.0_esper,com.espertech.esper.common.internal.epl.spatial.quadtree.core.testboundingbox.testtreeforpath,1.0,0.0,0.0,0.0
19008,4.0_hdoop,org.apache.hadoop.fs.testfileutil.testcopy5,0.0,1.0,0.0,0.0
50321,5.0_jfreechart,org.jfree.data.general.defaultheatmapdatasettest.testserialization,,,,
6900,49.0_dropwizard,io.dropwizard.logging.fileappenderfactorytest.includescallerdata,0.0,0.0,0.0,0.0
50220,5.0_jfreechart,org.jfree.data.category.defaultintervalcategorydatasettest.testgetvalue,1.0,0.0,0.0,0.0
11314,69.0_search-highlighter,org.wikimedia.search.highlighter.experimental.hit.phrasehitenumwrappertest.basic,0.0,0.0,0.0,0.0
40177,45.0_hbase,org.apache.hadoop.hbase.master.testdeadserver.testsortextract,0.0,0.0,0.0,0.0
24332,4.0_hdoop,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.testdelegatinglinuxcontainerruntime.testjavasandboxnotallowedbutpermissivedockerrequested,1.0,0.0,0.0,0.0
20140,4.0_hdoop,org.apache.hadoop.hdfs.client.impl.testblockreaderlocalmetrics.testslowshortcircuitreadsaveragelatencyvalue,1.0,1.0,1.0,0.0
13606,15.0_wro4j,ro.isdc.wro.model.resource.support.change.testresourcechangeinfo.cannotupdatehashfornullgroup,0.0,0.0,0.0,0.0
9962,57.0_riptide,org.zalando.riptide.requestertest.shouldexpandtwo,0.0,0.0,0.0,0.0
24880,4.0_hdoop,org.apache.hadoop.yarn.server.federation.policies.testrouterpolicyfacade.testgethomesubcluster,0.0,0.0,0.0,0.0
28480,4.0_hdoop,org.apache.hadoop.mapred.testtaskstatus.testreducetaskstatusstartandfinishtimes,1.0,0.0,0.0,0.0
49387,5.0_jfreechart,org.jfree.chart.renderer.xy.vectorrenderertest.testpubliccloneable,0.0,0.0,0.0,0.0
48910,5.0_jfreechart,org.jfree.chart.annotations.xydrawableannotationtest.testequals,1.0,0.0,0.0,0.0
43600,17.0_fastjson,com.alibaba.json.bvt.bug.issue689.test_0,1.0,0.0,0.0,0.0
50680,61.0_wildfly,org.jboss.as.test.integration.security.auditing.customauditprovidermoduletest.testgooduser1,0.0,0.0,0.0,0.0
1912,47.0_rxjava2-extras,com.github.davidmoten.rx2.consumerstest.testarraysnotequalthrows,0.0,0.0,0.0,0.0
39086,45.0_hbase,org.apache.hadoop.hbase.regionserver.testdatablockencodingtool.testhfileallcellswithtags,0.0,0.0,0.0,0.0
16801,21.0_incubator-dubbo,org.apache.dubbo.container.spring.springcontainertest.testcontainer,0.0,0.0,0.0,0.0
35462,30.0_joda-time,org.joda.time.format.testdatetimeformatter.testparseinto_monthday_withdefaultyear_feb29,0.0,0.0,0.0,0.0
41281,45.0_hbase,org.apache.hadoop.hbase.monitoring.testmemoryboundedlogmessagebuffer.testnonasciiencoding,1.0,0.0,0.0,0.0
27062,4.0_hdoop,org.apache.hadoop.registry.client.impl.testcuratorservice.testverifyexists,0.0,1.0,0.0,0.0
4605,18.0_admiral,com.vmware.admiral.adapter.docker.util.dockerportmappingtest.testdockerportstringparsing,0.0,0.0,0.0,0.0
1881,47.0_rxjava2-extras,com.github.davidmoten.rx2.retrywhentest.testretrywhenspecificexceptionfailsbecauseisnotinstanceof,1.0,0.0,0.0,0.0
31728,4.0_hdoop,org.apache.hadoop.ozone.container.keyvalue.testkeyvalueblockiterator.testkeyvalueblockiteratorwithonlydeletedblocks,0.0,1.0,1.0,0.0
8802,27.0_querydsl,com.querydsl.lucene3.lucenequerytest.list_not_sorted_limit_2,0.0,0.0,0.0,0.0
24980,4.0_hdoop,org.apache.hadoop.yarn.server.api.protocolrecords.testregisternodemanagerresponse.testroundtrip,1.0,0.0,0.0,0.0
39808,45.0_hbase,org.apache.hadoop.hbase.thrift2.testthrifthbaseservicehandler.testexistsall,1.0,0.0,0.0,0.0
49074,5.0_jfreechart,org.jfree.chart.util.relativedateformattest.testcloning,0.0,0.0,0.0,0.0
31653,4.0_hdoop,org.apache.hadoop.utils.db.testdbstorebuilder.builderwithoneparamv2,1.0,0.0,0.0,0.0
11740,15.0_wro4j,ro.isdc.wro.extensions.processor.testnodetypescriptprocessor.testfromfolder,0.0,1.0,1.0,0.0
49347,5.0_jfreechart,org.jfree.chart.renderer.xy.xyerrorrenderertest.testpubliccloneable,0.0,0.0,0.0,0.0
15157,41.0_elastic-job-lite,io.elasticjob.lite.internal.failover.failoverservicetest.assertsetcrashedfailoverflagwhenitemisnotassigned,0.0,0.0,0.0,0.0
42327,10.0_helios,com.spotify.helios.cli.command.jobcreatecommandtest.testjobcreatecommandfailswithinvalidfilepath,0.0,0.0,0.0,0.0
15817,72.0_java-websocket,org.java_websocket.framing.continuousframetest.testisvalid,0.0,0.0,0.0,0.0
50932,43.0_timely,timely.test.integration.twowaysslit.testbasicauthlogin,0.0,0.0,0.0,0.0
35139,30.0_joda-time,org.joda.time.field.testbasedatetimefield.test_getasshorttext_rp_locale,0.0,0.0,0.0,0.0
38068,45.0_hbase,org.apache.hadoop.hbase.util.testbytebufferutils.testputint,1.0,0.0,0.0,0.0
27235,4.0_hdoop,org.apache.hadoop.yarn.client.cli.testrmadmincli.testcheckhealth,0.0,0.0,0.0,0.0
2500,60.0_vertexium,org.vertexium.test.graphtestbase.testsoftdeletepropertythroughmutationwithvisibility,1.0,0.0,0.0,0.0
49813,5.0_jfreechart,org.jfree.data.xy.tablexydatasettest.testequals,0.0,0.0,0.0,0.0
26333,4.0_hdoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.testfairscheduler.testqueueunamewithperiods,1.0,0.0,0.0,0.0
